"association","From Connection","To Connection","From Object","To Object"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_location/loc_city_nme","policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_city_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_location/loc_cnty_cd","policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_cnty_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_location/loc_cnty_nme","policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_cnty_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/org_ind_key","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/org_ind_key"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/org_ind_id","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/org_ind_id"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/org_ind_hashnk","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/org_ind_hashnk"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/org_ind_hashfull","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/org_ind_hashfull"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/org_ind_textnk","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/org_ind_textnk"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/industry_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/industry_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/industry_descr","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/industry_descr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/industry_grp_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/industry_grp_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/industry_grp_descr","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/industry_grp_descr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/industry_grp_parent_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/industry_grp_parent_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/industry_grp_parent_descr","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/industry_grp_parent_descr"
