"class","identity","core.name","core.description","com.ldm.custom.swaggerapiv2.in","com.ldm.custom.swaggerapiv2.required","com.ldm.custom.swaggerapiv2.type"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes__id_/id","id",,"path","true","string"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/seed","seed","ID of the object from which to start","query","true","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/association","association","The association to traverse. Can be either an association or association kind.","query","true","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/direction","direction","Direction to traverse. Valid values BOTH, IN, OUT","query","false","string"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/removeDuplicateAggregateLinks","removeDuplicateAggregateLinks","Duplicate aggregate links are somtimes created by scanners, when set to true they will not be displayed in responses.","query","false","boolean"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/depth","depth","Depth of traversal. Valid values [0,N). 0 means traverse fully, any other integer means return links upto N hops from the seed node.","query","true","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/includeTerms","includeTerms","If  true, connected business terms will be embedded in the response.","query","false","boolean"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/includeAttribute","includeAttribute","Facts with the given attribute id will be embedded in the response.","query","false","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects/q","q","Search query to match objects. [Lucene Query Syntax](https://lucene.apache.org/core/2_9_4/queryparsersyntax.html)","query","false","string"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects/id","id",,"query","false","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects/offset","offset","Starting from result","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects/pageSize","pageSize","Results per page","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects/related","related","Return related objects, q must also be specified","query","false","boolean"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects/If-Match","If-Match","Do not update if etag for resource has changed","header","false","string"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects__id_/id","id",,"path","true","string"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects__id_/id","id",,"path","true","string"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects__id_/If-Match","If-Match","Do not update if etag for resource has changed","header","false","string"
