"class","identity","core.name","core.description"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/200","200","Class"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/200","200","List of reference data types"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/200","200","Reference Data Type"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/200","200","List of reference attributes"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/201","201","Created reference attributes"
