"class","identity","core.name","core.description","com.ldm.custom.swaggerapiv2.url"
"com.ldm.custom.swaggerapiv2.Tag","Google_Abusive_Experience_Report/sites","sites","",""
"com.ldm.custom.swaggerapiv2.Tag","Google_Abusive_Experience_Report/violatingSites","violatingSites","",""
